"func","desc"
"abs","Absolute value and complex magnitude"
"accumarray","Construct array with accumulation"
"acos","Inverse cosine in radians"
"acosd","Inverse cosine in degrees"
"acosh","Inverse hyperbolic cosine"
"acot","Inverse cotangent in radians"
"acotd","Inverse cotangent in degrees"
"acoth","Inverse hyperbolic cotangent"
"acsc","Inverse cosecant in radians"
"acscd","Inverse cosecant in degrees"
"acsch","Inverse hyperbolic cosecant"
"actxcontrol","Create Microsoft ActiveX control in figure window"
"actxcontrollist","List currently installed Microsoft ActiveX controls"
"actxcontrolselect","Create Microsoft ActiveX control from UI"
"actxGetRunningServer","Handle to running instance of Automation server"
"actxserver","Create COM server"
"add","Add single key-value pair to KeyValueStore"
"addcats","Add categories to categorical array"
"addCause","Record additional causes of exception"
"addedge","Add new edge to graph"
"addevent","Add event to timeseries object"
"addmulti","Add multiple key-value pairs to KeyValueStore"
"addnode","Add new node to graph"
"addOptional","Add optional positional argument to input parser scheme"
"addParameter","Add optional parameter name-value pair argument to inputparser scheme"
"addParamValue","(Not recommended) Add parameter name and value argumentto Input Parser scheme"
"addpath","Add folders to search path"
"addpoints","Add points to animated line"
"addpref","Add preference"
"addproperty","Add custom property to COM object"
"addRequired","Add required positional argument to input parser scheme"
"addsample","Add data sample to timeseries object"
"addsampletocollection","Add sample to tscollection object"
"addtodate","Modify date number by field"
"addts","Add timeseries object to tscollection object"
"adjacency","Graph adjacency matrix"
"airy","Airy Functions"
"align","Align UI components and graphics objects"
"alim","Set or query axes alpha limits"
"all","Determine if all array elements are nonzero or true"
"allchild","Find all children of specified objects"
"alpha","Add transparency to objects in axes"
"alphamap","Specify figure alphamap (transparency)"
"alphaShape","Polygons and polyhedra from points in 2-D and 3-D"
"alphaShape","Polygons and polyhedra from points in 2-D and 3-D"
"alphaSpectrum","Alpha values giving distinct alpha shapes"
"alphaTriangulation","Triangulation that fills alpha shape"
"amd","Approximate minimum degree permutation"
"ancestor","Ancestor of graphics object"
"and","Find logical AND"
"angle","Phase angle"
"AnimatedLine","Line animations"
"animatedline","Create animated line"
"annotation","Create annotations"
"ans","Most recent answer"
"any","Determine if any array elements are nonzero"
"appdesigner","Create or edit app file in App Designer"
"append","Concatenate time series objects in time dimension"
"area","Area of 2-D alpha shape"
"area","Filled area 2-D plot"
"array2table","Convert homogeneous array to table"
"array2timetable","Convert array to timetable"
"arrayfun","Apply function to each element of array"
"ascii","Set FTP transfer type toASCII"
"asec","Inverse secant in radians"
"asecd","Inverse secant in degrees"
"asech","Inverse hyperbolic secant"
"asin","Inverse sine in radians"
"asind","Inverse sine in degrees"
"asinh","Inverse hyperbolic sine"
"assert","Throw error if condition false"
"assignin","Assign value to variable in specified workspace"
"atan","Inverse tangent in radians"
"atan2","Four-quadrant inverse tangent"
"atan2d","Four-quadrant inverse tangent in degrees"
"atand","Inverse tangent in degrees"
"atanh","Inverse hyperbolic tangent"
"audiodevinfo","Information about audio device"
"audioinfo","Information about audio file"
"audioplayer","Create object for playing audio"
"audioread","Read audio file"
"audiorecorder","Create object for recording audio"
"audiowrite","Write audio file"
"autumn","Autumn colormap array"
"aviinfo","Information about Audio/Video Interleaved (AVI) file"
"axes","Create Cartesian axes"
"axis","Set axis limits and aspect ratios"
"balance","Diagonal scaling to improve eigenvalue accuracy"
"bandwidth","Lower and upper matrix bandwidth"
"bar","Bar graph"
"bar3","Plot 3-D bar graph"
"bar3h","Plot horizontal 3-D bar graph"
"barh","Plot bar graph horizontally"
"barycentricToCartesian","Converts point coordinates from barycentric to Cartesian"
